file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,119,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,10
style.css,120,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,14
style.css,121,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,17
style.css,122,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,123,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,124,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,14
style.css,125,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,47
style.css,126,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,20
style.css,127,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,19
style.css,128,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,129,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,130,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,27
style.css,131,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,18
style.css,132,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,15
style.css,133,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,134,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,135,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,10
style.css,136,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,16
style.css,137,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,25
style.css,138,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,17
style.css,139,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,140,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,141,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,15
style.css,142,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,17
style.css,143,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,144,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,145,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,14
style.css,146,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,12
style.css,147,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,29
style.css,148,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,20
style.css,149,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,19
style.css,150,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,151,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,152,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,28
style.css,153,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,8
style.css,154,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,155,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,156,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,10
style.css,157,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,16
style.css,158,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,159,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
